"Order #","MSS PO","Enrollment #","Order Recv. Date","Date ORD ACK","Customer Name","SKU Ordered",Appliance,Qty,"Service SKU","Service Level",Address,City,State,Postal,Country,"Serial #","Expected ship date","Actual Ship Date","INCO Terms",Carrier,"Tracking #","Customs Arrival Date","Final Delivery Date"
014418,6000437761,47486408,04/25/2017,,"Carhartt, Inc.",3M2-00002,8600,1.00,3M2-00006,Premium,"5750 Mercury Drive",Dearborn,MI,48126,"United States",,,,,FEDEX,,,
014417,6000437878,83127186,04/25/2017,,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,,,FEDEX,,,
014416,HPE495074,NFR-5,04/24/2017,,"Hewlett Packard Enterprise",3M2-00001,8100,1.00,,,"585 South Boulevard ",Pontiac,MI,"48341 ","United States",,,,,FEDEX,,,
014415,6000437809,72993488,04/24/2017,04/24/2017,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,,,FEDEX,,,
014414,6000437810,88075845,04/24/2017,04/24/2017,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,,,FEDEX,,,
014409,6000437760,72557480,04/24/2017,04/24/2017,"OPEN TEXT CORP",3M2-00002,8600,1.00,3M2-00006,Premium,"5347 WEST 161ST STREET","BROOK PARK",OH,44142,"United States",,,,,FEDEX,,,
014408,6000437757,72557480,04/24/2017,04/24/2017,"OPEN TEXT CORP",3M2-00002,8600,1.00,3M2-00006,Premium,"1301 SOUTH MOPAC EXPRESSWAY",AUSTIN,TX,78746,"United States",,,,,FEDEX,,,
014407,6000437587,53828149,04/21/2017,04/24/2017,"Mid Cheshire Hospitals NHS Foundati, ATTN: Matt Palmer",3M2-00002,8600,1.00,3M2-00005,Standard,"RECEIPTS AND DISTRIBUTION Dept, MIDDLEWICH ROAD",Crewe,CH,CW14QJ,"United Kingdom",,,,DDP,DHL,,,
014406,6000437586,66536484,04/21/2017,04/21/2017,"EQUINIX pour Diademys",3M2-00001,8100,1.00,3M2-00005,Standard,"10 RUE WALDECK ROCHET",AUBERVILLIERS,,93300,France,,,,DDP,DHL,,,
014405,97933419,N/A,04/21/2017,,Microsoft,3M2-00001,8100,1.00,3M2-00005,Standard,"1 Microsoft Way",Redmond,WA,98052,"United States",,,,,FEDEX,,,
014404,6000437360,71789124,04/20/2017,04/21/2017,"MKOPA KENYA LIMITED",3M2-00002,8600,3.00,3M2-00005,Standard,"P.O BOX 51866, GEORGE PADMORE ROAD, NAIROBI 00100 KENYA",NAIROBI,11,100,Kenya,,,,DAP,DHL,,,
014403,6000437386,70320239,04/20/2017,04/21/2017,"Jeraisy Computer & Communication Se",3M2-00001,8100,1.00,3M2-00005,Standard,"Al Awwal Street, Sulai, Near Exit 1, P.O. Box 62640",Riyadh,01,11595,"Saudi Arabia",,,,DAP,DHL,,,
014402,6000437387,87957713,04/20/2017,04/21/2017,"Sociedade Altitude Software - Siste, ATTN: Susana Oliveira",3M2-00001,8100,1.00,3M2-00005,Standard,"Rua Frederico George, nº 37 A",Lisboa,11,1600-468,Portugal,,,,DDP,DHL,,,
014401,6000437318,71789124,04/20/2017,04/20/2017,"MKOPA KENYA LIMITED",3M2-00001,8100,5.00,3M2-00005,Standard,"P.O BOX 51866, GEORGE PADMORE ROAD, NAIROBI 00100 KENYA",NAIROBI,11,100,Kenya,,,,DAP,DHL,,,
014400,6000437021,5917546,04/20/2017,04/20/2017,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,04/20/2017,,FEDEX,,,
014399,6000437023,69914479,04/20/2017,04/21/2017,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,04/21/2017,,FEDEX,,,
014398,6000437056,51064766,04/20/2017,,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,04/20/2017,,FEDEX,,,
014397,6000437022,91188024,04/20/2017,04/20/2017,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,04/20/2017,,FEDEX,,,
014396,6000437058,88446431,04/20/2017,,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,,,FEDEX,,,
014395,6000437057,70864971,04/20/2017,,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,,,FEDEX,,,
